#Position (bp)	mapping quality
4124013.5	57.611889318162206
1.23720395E7	58.132162553923116
2.06200655E7	54.56011492374929
2.88680915E7	58.78207449333809
3.71161175E7	59.947527383999336
4.53641435E7	59.87872754682168
5.36121695E7	59.981448717035306
6.18601955E7	59.969181375898366
7.01082215E7	59.98121652831361
7.83562475E7	59.986813638510355
8.66042735E7	59.95010465112649
9.48522995E7	59.98489386873745
1.031003255E8	59.9794574171284
1.113483515E8	59.37378260655838
1.195963775E8	55.5624438768281
1.278444035E8	0.0
1.360924295E8	0.0
1.443404555E8	56.37335857284746
1.525884815E8	56.19990309553447
1.608365075E8	58.882986180406526
1.690845335E8	59.948173813639706
1.773325595E8	59.986389103336634
1.855805855E8	59.95061115438739
1.938286115E8	53.386248597996726
2.020766375E8	59.4726369836515
2.103246635E8	58.54958974566811
2.185726895E8	59.9734629647823
2.268207155E8	59.14221861343481
2.350687415E8	58.799680077849004
2.433167675E8	53.4291934927875
2.481986015E8	56.370338482938436
2.523226145E8	59.79835056788666
2.598128195E8	59.9480076674331
2.680608455E8	59.95395569892205
2.763088715E8	59.04759142843458
2.845568975E8	59.53042269669771
2.928049235E8	53.46310390498426
3.010529495E8	59.98294167984422
3.093009755E8	59.96262597834261
3.175490015E8	59.987093554020746
3.257970275E8	56.51217759255441
3.340450535E8	58.44207832077235
3.422930795E8	59.96879141644993
3.505411055E8	59.983383012587105
3.587891315E8	59.954355085590514
3.670371575E8	58.15255773117401
3.752851835E8	59.97193000889041
3.810815205E8	59.943845781354256
3.852055335E8	49.29900047748353
3.917812355E8	58.93705420227249
4.000292615E8	57.99603874533849
4.082772875E8	59.9190486139438
4.165253135E8	59.96606270530547
4.247733395E8	59.97950637475929
4.330213655E8	53.395677225425295
4.412693915E8	58.04218928084274
4.495174175E8	59.328922755970815
4.577654435E8	59.982060476274846
4.660134695E8	59.98915919052342
4.742614955E8	56.365909870554766
4.825095215E8	59.98081085263393
4.907575475E8	58.78496948626919
4.990055735E8	57.466547875717986
5.072535995E8	59.927557104066715
5.146090395E8	59.969706262681036
5.178906245E8	2.67257699539993
5.187832105E8	57.523343274579936
