#Position (bp)	insert size
4124013.5	219.6316146642337
1.23720395E7	220.86611047248854
2.06200655E7	219.14042637975692
2.88680915E7	221.43136655123064
3.71161175E7	226.3600868136036
4.53641435E7	225.0570512887432
5.36121695E7	218.69184938445426
6.18601955E7	220.05090134925902
7.01082215E7	220.49536589729826
7.83562475E7	226.49585138617508
8.66042735E7	224.18406384870633
9.48522995E7	224.14973134328358
1.031003255E8	223.18853737551493
1.113483515E8	224.91876916988227
1.195963775E8	222.15573240925644
1.278444035E8	0.0
1.360924295E8	0.0
1.443404555E8	228.8860492379836
1.525884815E8	225.58024454348075
1.608365075E8	223.17737462805152
1.690845335E8	219.24180992539735
1.773325595E8	221.5223441367348
1.855805855E8	221.57920963521624
1.938286115E8	231.7994410095706
2.020766375E8	222.26759668710758
2.103246635E8	224.11001068756678
2.185726895E8	229.0421971765973
2.268207155E8	224.19041611557637
2.350687415E8	226.6887007959218
2.433167675E8	227.62290479026632
2.481986015E8	241.94912534103676
2.523226145E8	220.55462938363442
2.598128195E8	219.21457475507597
2.680608455E8	221.83484114654726
2.763088715E8	225.11613746243304
2.845568975E8	228.49080889912406
2.928049235E8	230.14998770592575
3.010529495E8	224.1313969571231
3.093009755E8	228.42456381240976
3.175490015E8	219.83113839285716
3.257970275E8	223.64763504668818
3.340450535E8	219.9166944475312
3.422930795E8	222.9776428689117
3.505411055E8	221.94600185984305
3.587891315E8	218.8059763870024
3.670371575E8	220.61237856785178
3.752851835E8	224.8885077186964
3.810815205E8	214.42768886510677
3.852055335E8	225.1153418864679
3.917812355E8	234.0564177817573
4.000292615E8	217.20688731312626
4.082772875E8	221.7033923928161
4.165253135E8	225.34441775192818
4.247733395E8	219.39113201564317
4.330213655E8	224.90233028945553
4.412693915E8	235.40351727405877
4.495174175E8	229.3741237147817
4.577654435E8	223.74005151086445
4.660134695E8	229.69830188679245
4.742614955E8	227.68878758151075
4.825095215E8	225.7876735523197
4.907575475E8	225.89710957291896
4.990055735E8	223.8760614167733
5.072535995E8	224.8210759590402
5.146090395E8	223.28298213467704
5.178906245E8	222.9755600814664
5.187832105E8	224.7386088360826
5.237496515E8	221.63233449190713
5.319976775E8	222.45371371119768
5.402457035E8	217.085522875817
5.484937295E8	217.429852535154
5.567417555E8	222.26770508089697
5.649897815E8	225.64304272659916
5.732378075E8	228.25469680644508
5.814858335E8	221.1451887853179
5.897338595E8	221.32534814323608
5.979818855E8	218.77726889678672
6.062299115E8	223.05991384936692
6.144779375E8	219.640155752517
6.227259635E8	218.6411868970924
6.309739895E8	214.28143359864674
6.392220155E8	217.36996863114595
6.4728106E8	222.7394841212402
6.51405073E8	0.0
6.557180675E8	0.0
6.639660935E8	0.0
6.722141195E8	233.43585353923555
6.804621455E8	229.48041159256113
6.887101715E8	228.5383224219626
6.969581975E8	226.63323759584728
7.052062235E8	231.62836693438234
7.134542495E8	233.5635150812065
7.217022755E8	232.61756619881348
7.299503015E8	226.40326227390182
7.381983275E8	251.82558139534885
7.464463535E8	222.08712070727265
7.546943795E8	239.65645521866705
7.62199406E8	222.51655020228026
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	0.0
7.876864835E8	231.24408121380927
7.959345095E8	228.81948347383914
8.041825355E8	225.1352855978999
8.124305615E8	230.9883756396787
8.206785875E8	225.6058631921824
8.289266135E8	228.7828174352495
8.371746395E8	225.6314877926141
8.454226655E8	221.76004542962326
8.536706915E8	220.07916642412246
8.619187175E8	219.651028374118
8.69333434E8	224.2904951502289
8.72724992E8	0.0
8.72931433E8	0.0
8.731340445E8	0.0
8.73326804E8	180.25
8.73441596E8	0.0
8.73480431E8	0.0
8.735866135E8	0.0
8.73694888E8	225.75233644859813
8.74003757E8	0.0
8.784147695E8	0.0
8.866627955E8	0.0
8.949108215E8	226.0813765567069
9.031588475E8	224.58436076119003
9.114068735E8	225.31759068163186
9.196548995E8	224.2378439604103
9.279029255E8	224.2521212121212
9.361509515E8	220.558214093316
9.443989775E8	221.42754800057745
9.526470035E8	220.69446690928697
9.608950295E8	222.62658363399726
9.691430555E8	221.79855715871255
