#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	2.9094937946316346E-7
4.0	2.9094937946316346E-7
5.0	5.818987589263269E-7
6.0	5.818987589263269E-7
7.0	0.0
8.0	2.9094937946316346E-7
9.0	5.818987589263269E-7
10.0	5.818987589263269E-7
11.0	1.1637975178526538E-6
12.0	8.728481383894904E-7
13.0	3.4913925535579615E-6
14.0	7.273734486579087E-6
15.0	1.5129367732084497E-5
16.0	2.560354539275839E-5
17.0	5.4116584580148416E-5
18.0	1.0706937164244417E-4
19.0	2.1792108521790943E-4
20.0	4.0092824490023924E-4
21.0	7.393023732158985E-4
22.0	0.001157105682125001
23.0	0.0018053408995689297
24.0	0.0026540402394629775
25.0	0.004244369547608628
26.0	0.004718907985513048
27.0	0.006733732438295455
28.0	0.008492230487770817
29.0	0.01066794994739635
30.0	0.01272059781950897
31.0	0.014886425000232758
32.0	0.017264354278585196
33.0	0.019732768813950672
34.0	0.022332110570074577
35.0	0.024536343068887502
36.0	0.026877321776048117
37.0	0.02859712355805488
38.0	0.030245060843334233
39.0	0.031271530254080276
40.0	0.03204749224910853
41.0	0.03200239509529174
42.0	0.03158633748265941
43.0	0.030738220041524295
44.0	0.029642213729086563
45.0	0.028976230599495376
46.0	0.028209288035230477
47.0	0.027663176049978117
48.0	0.027660557505562955
49.0	0.027718165482696656
50.0	0.02779381232135708
51.0	0.030198508942620127
52.0	0.024530233131918776
53.0	0.026492104797638888
54.0	0.025888384835252826
55.0	0.025371367787946783
56.0	0.02517817739998324
57.0	0.024344607427821276
58.0	0.023649238410904314
59.0	0.022857565149385046
60.0	0.022120590371204858
61.0	0.02093584449803085
62.0	0.019499136462241756
63.0	0.018001038107385924
64.0	0.01641478209055276
65.0	0.014439526753377339
66.0	0.012505295278706228
67.0	0.010742723937918384
68.0	0.008870173731693465
69.0	0.007319413539154804
70.0	0.005889688288472818
71.0	0.004706979060955059
72.0	0.0036738178144813654
73.0	0.0028521767668773916
74.0	0.0022074329419870214
75.0	0.00176955412589496
76.0	0.001306071764410141
77.0	0.0010314155501969147
78.0	7.913823121398047E-4
79.0	5.929548353459271E-4
80.0	4.4282495554293474E-4
81.0	3.182986211327008E-4
82.0	1.9930032493226696E-4
83.0	1.2190778999506548E-4
84.0	8.11748768702226E-5
85.0	4.073291312484289E-5
86.0	2.7349241669537367E-5
87.0	1.4547468973158172E-5
88.0	7.855633245505414E-6
89.0	2.618544415168471E-6
90.0	1.4547468973158173E-6
91.0	2.0366456562421444E-6
92.0	2.9094937946316346E-7
93.0	0.0
94.0	0.0
95.0	2.9094937946316346E-7
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	7.855633245505414E-6
