#Read position (bp)	Clipping profile
0.0	3.460941657660424
1.0	3.4382140124773475
2.0	3.1678542256600726
3.0	2.9053865812877735
4.0	2.6296359867895025
5.0	2.3146834388350337
6.0	2.1649483646877083
7.0	2.0161620726922385
8.0	1.8800118339010212
9.0	1.761500317842021
10.0	1.6349241534922514
11.0	1.5481105865975033
12.0	1.4553886944843843
13.0	1.355292177463664
14.0	1.2674867019556124
15.0	1.176662374146204
16.0	1.1114120379754369
17.0	1.0419353085827696
18.0	0.975003040415532
19.0	0.9199305491464842
20.0	0.873353970782685
21.0	0.8316938090239532
22.0	0.7941306611027781
23.0	0.7682979106954487
24.0	0.7446214833605174
25.0	0.7188318594146359
26.0	0.6979155256123742
27.0	0.6793280207283025
28.0	0.6643631386058595
29.0	0.6540990407812445
30.0	0.6418942521914711
31.0	0.6393497909660414
32.0	0.6353821565128288
33.0	0.6390479057359056
34.0	0.6468106687965388
35.0	0.6595761013851357
36.0	0.6347352595911093
37.0	0.6114900968706577
38.0	0.584924196618713
39.0	0.5589620668270395
40.0	0.5335605810341898
41.0	0.5092372567775391
42.0	0.48418078267627296
43.0	0.46071998764858146
44.0	0.43691418092930623
45.0	0.4111676834448727
46.0	0.3878793942629731
47.0	0.3729145121405302
48.0	0.3687743718415258
49.0	0.3579927564795352
50.0	0.3546288924865941
51.0	0.35782025063374334
52.0	0.3688174983029737
53.0	0.36812747491980635
54.0	0.37640775551781513
55.0	0.38982008502813137
56.0	0.4044830819204386
57.0	0.41392777697754235
58.0	0.4224668163442389
59.0	0.43044521171211186
60.0	0.4380354689269532
61.0	0.449765866440799
62.0	0.46007309072686203
63.0	0.47352854669862626
64.0	0.48771715251500586
65.0	0.5032858050977203
66.0	0.5168706404538284
67.0	0.528816670274914
68.0	0.5405039413273117
69.0	0.5594364579029671
70.0	0.575781386791745
71.0	0.6009241138159069
72.0	0.6212798036193451
73.0	0.6458618866446836
74.0	0.6692364287494793
75.0	0.694767293926673
76.0	0.7212469412557219
77.0	0.7500554175029607
78.0	0.778130743905584
79.0	0.8066804613841352
80.0	0.8359202022458536
81.0	0.8691707040222325
82.0	0.905353805177073
83.0	0.9386043069534519
84.0	0.9764693401047628
85.0	1.0123074295680194
86.0	1.054269476556887
87.0	1.0950239826252113
88.0	1.143541251754169
89.0	1.1802418704463846
90.0	1.221341388206293
91.0	1.2729637625595038
92.0	1.3294594270563345
93.0	1.3948822690728933
94.0	1.4680678741500852
95.0	1.5480243336746073
96.0	1.6849939752333356
97.0	1.811656392506001
98.0	1.9780382807722394
99.0	2.1715898397506943
100.0	2.1715035868277983
