#Position (bp)	insert size
4124013.5	219.8043461846298
1.23720395E7	220.90920951194923
2.06200655E7	219.1607036097198
2.88680915E7	221.42664394262178
3.71161175E7	226.32845569566913
4.53641435E7	224.7054614958796
5.36121695E7	218.58084222809487
6.18601955E7	219.95098960636886
7.01082215E7	220.52803236431333
7.83562475E7	226.52667838512133
8.66042735E7	224.23495608804078
9.48522995E7	224.14778536958286
1.031003255E8	223.1421029476463
1.113483515E8	224.88886568247023
1.195963775E8	222.10790394168308
1.278444035E8	0.0
1.360924295E8	0.0
1.443404555E8	228.88225833472944
1.525884815E8	225.58720034383586
1.608365075E8	223.4573697115946
1.690845335E8	219.13903866163972
1.773325595E8	221.5474227808633
1.855805855E8	221.4975967084519
1.938286115E8	231.7186414838655
2.020766375E8	222.15816918436383
2.103246635E8	224.16965726763505
2.185726895E8	229.07970596159026
2.268207155E8	224.2118956083074
2.350687415E8	226.6460410909528
2.433167675E8	227.68598457408277
2.481986015E8	241.8383660392471
2.523226145E8	220.54967746225975
2.598128195E8	219.19699605865853
2.680608455E8	221.7893246452713
2.763088715E8	225.02449725776964
2.845568975E8	228.49494285009456
2.928049235E8	230.1504598888397
3.010529495E8	224.29027688345138
3.093009755E8	228.3981996920526
3.175490015E8	219.8698387877434
3.257970275E8	223.6251690884496
3.340450535E8	220.07251483679525
3.422930795E8	222.93386880178377
3.505411055E8	222.00680805672334
3.587891315E8	218.74794568245125
3.670371575E8	220.68062208148785
3.752851835E8	224.9123502684841
3.810815205E8	214.49238257483572
3.852055335E8	225.16181136946273
3.917812355E8	234.08159660311327
4.000292615E8	217.16613681014468
4.082772875E8	221.55139451872466
4.165253135E8	225.36277216870772
4.247733395E8	219.35645920363808
4.330213655E8	224.91513805962106
4.412693915E8	235.56635012341954
4.495174175E8	230.30174076393237
4.577654435E8	223.73224935196765
4.660134695E8	229.77268431001892
4.742614955E8	227.59869673029237
4.825095215E8	225.74910525574185
4.907575475E8	225.8770966453674
4.990055735E8	223.87074671661063
5.072535995E8	224.81137610193574
5.146090395E8	223.31170964660936
5.178906245E8	222.9755600814664
5.187832105E8	225.0302067690886
5.237496515E8	221.71088788942293
5.319976775E8	222.4260786482953
5.402457035E8	217.05160258502514
5.484937295E8	217.50525639653142
5.567417555E8	222.2415273785443
5.649897815E8	226.40828145073624
5.732378075E8	227.59951757672553
5.814858335E8	221.29079042784628
5.897338595E8	221.24667035092568
5.979818855E8	218.6872161172161
6.062299115E8	222.83670809072737
6.144779375E8	219.6771019485413
6.227259635E8	218.6775563095705
6.309739895E8	214.26051168972393
6.392220155E8	217.29777777777778
6.4728106E8	222.96430227167363
6.51405073E8	0.0
6.557180675E8	0.0
6.639660935E8	0.0
6.722141195E8	233.43824228028504
6.804621455E8	229.62242946523432
6.887101715E8	228.5502224472818
6.969581975E8	226.6914632537274
7.052062235E8	231.70919929993437
7.134542495E8	233.4886956521739
7.217022755E8	232.58787791118183
7.299503015E8	226.31980624327232
7.381983275E8	251.32404085012422
7.464463535E8	222.08743995730296
7.546943795E8	239.5741613432471
7.62199406E8	222.40021332941004
7.66323419E8	0.0
7.711904315E8	0.0
7.794384575E8	0.0
7.876864835E8	231.2538661682791
7.959345095E8	228.73315484158857
8.041825355E8	225.11353652461392
8.124305615E8	230.96727371384
8.206785875E8	225.56242582843927
8.289266135E8	228.68929708423872
8.371746395E8	225.64071063718728
8.454226655E8	221.852548282211
8.536706915E8	220.2193559657602
8.619187175E8	219.61766030935576
8.69333434E8	224.3103647842862
8.72724992E8	0.0
8.72931433E8	0.0
8.731340445E8	0.0
8.73326804E8	180.25
8.73441596E8	0.0
8.73480431E8	0.0
8.735866135E8	0.0
8.73694888E8	225.75233644859813
8.74003757E8	0.0
8.784147695E8	0.0
8.866627955E8	0.0
8.949108215E8	226.0158926532166
9.031588475E8	224.5741001407601
9.114068735E8	225.22514450458598
9.196548995E8	224.22382613072554
9.279029255E8	223.29955578335895
9.361509515E8	220.56478147749073
9.443989775E8	221.48438571789595
9.526470035E8	220.78242395629596
9.608950295E8	222.62090673873993
9.691430555E8	221.76233958538992
9.744875075E8	223.05821590972886
9.759320705E8	218.10526315789474
9.788356445E8	227.18661853512418
9.856391075E8	218.69453779960853
