#Insert size (bp)	insert size
369.0	13729.0
370.0	13480.0
371.0	13203.0
372.0	13036.0
373.0	12684.0
374.0	12506.0
375.0	12276.0
376.0	12241.0
377.0	11875.0
378.0	11695.0
379.0	11607.0
380.0	11303.0
381.0	11169.0
382.0	10850.0
383.0	10784.0
384.0	10616.0
385.0	10384.0
386.0	10159.0
387.0	9982.0
388.0	9736.0
389.0	9660.0
390.0	9435.0
391.0	9361.0
392.0	9300.0
393.0	8976.0
394.0	8908.0
395.0	8687.0
396.0	8519.0
397.0	8556.0
398.0	8497.0
399.0	8173.0
400.0	8078.0
401.0	7945.0
402.0	7840.0
403.0	7637.0
404.0	7459.0
405.0	7451.0
406.0	7250.0
407.0	7247.0
408.0	7224.0
409.0	7104.0
410.0	6872.0
411.0	6796.0
412.0	6744.0
413.0	6758.0
414.0	6649.0
415.0	6581.0
416.0	6330.0
417.0	6168.0
418.0	6287.0
419.0	6120.0
420.0	6045.0
421.0	5906.0
422.0	5961.0
423.0	5799.0
424.0	5754.0
425.0	5552.0
426.0	5480.0
427.0	5437.0
428.0	5475.0
429.0	5293.0
430.0	5172.0
431.0	5142.0
432.0	5041.0
433.0	4895.0
434.0	4960.0
435.0	4873.0
436.0	4833.0
437.0	4609.0
438.0	4715.0
439.0	4594.0
440.0	4504.0
441.0	4415.0
442.0	4395.0
443.0	4298.0
444.0	4268.0
445.0	4136.0
446.0	4200.0
447.0	4031.0
448.0	4037.0
449.0	4045.0
450.0	3887.0
451.0	3866.0
452.0	3756.0
453.0	3690.0
454.0	3663.0
455.0	3623.0
456.0	3584.0
457.0	3498.0
458.0	3560.0
459.0	3449.0
460.0	3381.0
461.0	3419.0
462.0	3461.0
463.0	3272.0
464.0	3240.0
465.0	3227.0
466.0	3049.0
467.0	3045.0
468.0	3050.0
469.0	3130.0
470.0	2966.0
471.0	2906.0
472.0	2932.0
473.0	2902.0
474.0	2725.0
475.0	2684.0
476.0	2745.0
477.0	2579.0
478.0	2571.0
479.0	2539.0
480.0	2628.0
481.0	2495.0
482.0	2516.0
483.0	2509.0
484.0	2409.0
485.0	2402.0
486.0	2368.0
487.0	2294.0
488.0	2306.0
489.0	2249.0
490.0	2271.0
491.0	2104.0
492.0	2236.0
493.0	2164.0
494.0	2100.0
495.0	2078.0
496.0	2030.0
497.0	2049.0
498.0	1954.0
499.0	1834.0
500.0	1881.0
501.0	1883.0
502.0	1855.0
503.0	1852.0
504.0	1849.0
505.0	1764.0
506.0	1790.0
507.0	1755.0
508.0	1739.0
509.0	1689.0
510.0	1724.0
511.0	1652.0
512.0	1652.0
513.0	1667.0
514.0	1604.0
515.0	1571.0
516.0	1554.0
517.0	1584.0
518.0	1479.0
519.0	1532.0
520.0	1482.0
521.0	1356.0
522.0	1461.0
523.0	1394.0
524.0	1317.0
525.0	1391.0
526.0	1325.0
527.0	1321.0
528.0	1318.0
529.0	1267.0
530.0	1246.0
