#Coverage	Number of genomic locations
350.0	1367.0
351.0	1232.0
352.0	1270.0
353.0	1219.0
354.0	1272.0
355.0	1278.0
356.0	1234.0
357.0	1274.0
358.0	1279.0
359.0	1214.0
360.0	1220.0
361.0	1236.0
362.0	1141.0
363.0	1104.0
364.0	1116.0
365.0	1087.0
366.0	1120.0
367.0	1081.0
368.0	1006.0
369.0	1052.0
370.0	1030.0
371.0	1038.0
372.0	957.0
373.0	933.0
374.0	945.0
375.0	950.0
376.0	925.0
377.0	932.0
378.0	883.0
379.0	858.0
380.0	878.0
381.0	888.0
382.0	778.0
383.0	818.0
384.0	898.0
385.0	757.0
386.0	776.0
387.0	777.0
388.0	748.0
389.0	773.0
390.0	751.0
391.0	734.0
392.0	709.0
393.0	737.0
394.0	698.0
395.0	679.0
396.0	678.0
397.0	645.0
398.0	630.0
399.0	602.0
400.0	636.0
401.0	652.0
402.0	626.0
403.0	634.0
404.0	615.0
405.0	579.0
406.0	609.0
407.0	603.0
408.0	571.0
409.0	579.0
410.0	567.0
411.0	536.0
412.0	543.0
413.0	626.0
414.0	568.0
415.0	594.0
416.0	549.0
417.0	552.0
418.0	518.0
419.0	493.0
420.0	483.0
421.0	510.0
422.0	514.0
423.0	484.0
424.0	480.0
425.0	450.0
426.0	508.0
427.0	480.0
428.0	466.0
429.0	439.0
430.0	437.0
431.0	450.0
432.0	418.0
433.0	422.0
434.0	426.0
435.0	422.0
436.0	446.0
437.0	408.0
438.0	394.0
439.0	384.0
440.0	395.0
441.0	429.0
442.0	417.0
443.0	355.0
444.0	400.0
445.0	383.0
446.0	363.0
447.0	375.0
448.0	342.0
449.0	367.0
450.0	312.0
451.0	346.0
452.0	320.0
453.0	347.0
454.0	365.0
455.0	316.0
456.0	324.0
457.0	342.0
458.0	301.0
459.0	307.0
460.0	291.0
461.0	269.0
462.0	286.0
463.0	256.0
464.0	245.0
465.0	237.0
466.0	261.0
467.0	252.0
468.0	275.0
469.0	266.0
470.0	223.0
471.0	275.0
472.0	239.0
473.0	223.0
474.0	224.0
475.0	256.0
476.0	233.0
477.0	239.0
478.0	226.0
479.0	223.0
480.0	195.0
481.0	190.0
482.0	219.0
483.0	214.0
484.0	238.0
485.0	222.0
486.0	247.0
487.0	219.0
488.0	170.0
489.0	180.0
490.0	186.0
491.0	186.0
492.0	176.0
493.0	170.0
494.0	161.0
495.0	159.0
496.0	151.0
497.0	146.0
498.0	167.0
499.0	159.0
500.0	170.0
501.0	157.0
502.0	148.0
503.0	163.0
504.0	136.0
505.0	149.0
506.0	135.0
507.0	139.0
508.0	126.0
509.0	132.0
510.0	136.0
511.0	131.0
512.0	111.0
513.0	111.0
514.0	110.0
515.0	108.0
516.0	126.0
517.0	136.0
518.0	142.0
519.0	108.0
520.0	135.0
521.0	117.0
522.0	99.0
523.0	122.0
524.0	108.0
525.0	99.0
526.0	119.0
527.0	106.0
528.0	103.0
529.0	99.0
530.0	109.0
531.0	111.0
532.0	106.0
533.0	103.0
534.0	93.0
535.0	90.0
536.0	124.0
537.0	94.0
538.0	100.0
539.0	94.0
540.0	105.0
541.0	115.0
542.0	94.0
543.0	84.0
