#Position (bp)	Coverage	Std
4124013.5	1.5747546140130984	10.363080580066217
1.23720395E7	2.026658257381827	12.825942372942126
2.06200655E7	1.806952960623548	11.388543582506237
2.88680915E7	2.194953677401114	13.736574492173935
3.71161175E7	2.2943237569813673	14.371934964573276
4.53641435E7	2.303511894846112	14.33854682805727
5.36121695E7	1.4090251412883519	10.459810402527808
6.18601955E7	0.8785220851631651	8.112983904846613
7.01082215E7	0.6797736816057564	7.369375240843142
7.83562475E7	0.8612794140076668	9.851067955935006
8.66042735E7	1.1261459408590613	10.45718492893265
9.48522995E7	1.021832496648289	9.062309088516587
1.031003255E8	0.608915151334392	6.779771261887193
1.113483515E8	2.202486873828962	13.64664689612825
1.195963775E8	0.8265728066327628	8.128803787567055
1.278444035E8	8.971843687204671E-6	0.002995303605180061
1.360924295E8	0.0	0.0
1.443404555E8	0.7224009720628912	9.881245304927942
1.525884815E8	5.259045255191969	26.99407342209686
1.608365075E8	3.1043730948471793	20.10756256035498
1.690845335E8	1.7974951824836634	14.777258581165524
1.773325595E8	1.2450581508836174	10.185240170730836
1.855805855E8	1.2644378182125031	10.298857884422473
1.938286115E8	0.5778829989139219	7.1368151964634166
2.020766375E8	1.974297850176515	13.37840567550485
2.103246635E8	1.0201140248587965	8.121894100876725
2.185726895E8	0.634316380670963	6.128172109399456
2.268207155E8	1.1866137424882026	8.422844895337574
2.350687415E8	1.0101843762374172	8.03132921893869
2.433167675E8	0.57047613574448	6.026404746104349
2.481986015E8	1.6468592187337114	12.223877254363568
2.523226145E8	0.8926742740758697	8.123140562417095
2.598128195E8	0.6809486294053875	7.081644796908459
2.680608455E8	0.7971123029922553	7.187102951411066
2.763088715E8	0.9289533034934662	8.95428676646303
2.845568975E8	0.5934350837400367	7.1913122615422305
2.928049235E8	0.4920298505363586	6.7991881062987005
3.010529495E8	0.7526077148641384	9.733703898799405
3.093009755E8	1.0291508537921679	12.314964789616058
3.175490015E8	1.2988209542501443	10.133981921279917
3.257970275E8	1.105956625257971	10.082595489176986
3.340450535E8	0.6532126596109178	7.727804527553256
3.422930795E8	1.918614344814141	12.794343889509555
3.505411055E8	2.305845059169309	13.930166005503192
3.587891315E8	0.6976670539108388	7.4871299655232475
3.670371575E8	1.209682777430624	10.267059472779746
3.752851835E8	1.1723982198892196	11.231155136798682
3.810815205E8	1.2089325991853253	9.036875545118942
3.852055335E8	2.248340633742697	13.163373219249488
3.917812355E8	2.9287340995287843	18.117246607145418
4.000292615E8	1.352206212735023	10.395208209253191
4.082772875E8	0.4021482231021095	5.863719653608441
4.165253135E8	1.1550227896953769	11.387644640394388
4.247733395E8	0.45544643045499617	5.934599720911207
4.330213655E8	1.1175015694664396	10.386075284551573
4.412693915E8	2.2486862917260444	14.501737793409797
4.495174175E8	2.8651219091695395	13.113184082039622
4.577654435E8	1.326172589659635	9.018361385006449
4.660134695E8	0.5155271091531477	6.3830930130760795
4.742614955E8	0.8432774096492907	8.618585110191786
4.825095215E8	0.8657532117381783	9.660879115047225
4.907575475E8	1.2208653318988083	10.334722438442427
4.990055735E8	2.068604778888912	13.91733239105699
5.072535995E8	1.5861233948583575	12.93144640170841
5.146090395E8	0.8057706394110095	7.632592591311938
5.178906245E8	0.9383248933370549	5.25169271062267
5.187832105E8	2.0468188379303633	14.521319681068471
5.237496515E8	2.346088021546004	14.506757332132441
5.319976775E8	0.9663737723426187	9.626785935620855
5.402457035E8	0.7456773293391655	7.1269574060844185
5.484937295E8	1.1383720177409722	10.731965724791605
5.567417555E8	0.6877766874158738	7.512163106481251
5.649897815E8	2.4415788699017194	15.695770185341395
5.732378075E8	4.401672109181034	21.794540319730107
5.814858335E8	0.6712755270170099	7.340381572874626
5.897338595E8	0.8813077213869113	8.913111231597247
5.979818855E8	0.6647909451303864	6.596347623905671
6.062299115E8	0.5622574419624768	7.692403696125065
6.144779375E8	1.1302845068626117	9.653716636702665
6.227259635E8	1.4231711927193247	10.4512350129452
6.309739895E8	1.5953880358767056	10.596780974617376
6.392220155E8	2.094013161452207	12.445927842303671
6.4728106E8	0.8712071301081071	8.050132661726936
6.51405073E8	0.0	0.0
6.557180675E8	0.0	0.0
6.639660935E8	0.0	0.0
6.722141195E8	0.6999776673836867	7.139805941342198
6.804621455E8	1.0315650071908116	8.34430240346036
6.887101715E8	0.6732647302518202	6.437602018527051
6.969581975E8	0.9241841623680623	8.5474043604349
7.052062235E8	0.44516142407892506	5.758852616076348
7.134542495E8	0.08438285718303992	2.3323778615156616
7.217022755E8	0.16881724184671582	3.3295603078251523
7.299503015E8	0.45144171465996835	5.386429760356667
7.381983275E8	0.08791909724823854	2.957095287923866
7.464463535E8	0.5457584639039693	5.839390694727677
7.546943795E8	0.7019346204776755	8.52087372700659
7.62199406E8	0.7994224217087569	7.064727312040187
7.66323419E8	0.0	0.0
7.711904315E8	0.0	0.0
7.794384575E8	0.0	0.0
7.876864835E8	2.6357347806614575	15.366536533328516
7.959345095E8	0.5471480085053079	6.589711756884231
8.041825355E8	0.5370286175140573	6.226108643958023
8.124305615E8	0.71979622760646	7.032169156010058
8.206785875E8	0.7992501478535592	6.917369774346233
8.289266135E8	0.961418283599009	7.7950114940811845
8.371746395E8	1.2967674932159525	9.17281932518335
8.454226655E8	0.6169244616833167	7.165955342075465
8.536706915E8	0.8338998931380672	8.537215194958108
8.619187175E8	0.9644968383950293	8.123037108437627
8.69333434E8	1.7144405444003084	11.118777386230445
8.72724992E8	0.0	0.0
8.72931433E8	2.746563244354155E-4	0.016572758504105934
8.731340445E8	0.0	0.0
8.73326804E8	0.012477215632817845	0.3496868476561235
8.73441596E8	0.0	0.0
8.73480431E8	0.0	0.0
8.735866135E8	0.0	0.0
8.73694888E8	0.9869452891012598	9.784217074967765
8.74003757E8	0.0	0.0
8.784147695E8	0.0	0.0
8.866627955E8	0.0	0.0
8.949108215E8	0.2536912468510647	5.597854461431645
9.031588475E8	0.36091411448024047	4.791855852995711
9.114068735E8	1.713687129502259	11.780777048824167
9.196548995E8	2.698213730170104	15.348148357805321
9.279029255E8	1.4297450080782965	11.09890549656114
9.361509515E8	1.8448158383593845	12.550966529609525
9.443989775E8	1.3385827105782644	10.532184053349498
9.526470035E8	1.4317967717366555	10.517269642135764
9.608950295E8	1.4638485620680632	10.684334252550697
9.691430555E8	0.3921522555821235	5.495523382958353
9.744875075E8	1.4553128013772094	11.61055406396217
9.759320705E8	0.0255572807909907	0.5093799888946632
9.788356445E8	3.8162667711657243	17.10136422246544
9.856391075E8	0.6518565775617099	7.0119418250779075
9.938871335E8	1.1864766187691456	9.819440123842021
1.0021351595E9	1.6552752137299276	12.464505023951675
1.0103831855E9	1.3677173180588906	12.31393193923387
1.0186312115E9	0.055907801454554096	2.374208542418945
1.0268792375E9	0.9816761004390626	8.81958128338655
1.0351272635E9	1.187513836644065	9.479428436793112
1.0433752895E9	2.3071379745893137	14.314817537076156
1.0516233155E9	1.047933529792462	9.354694082327265
1.0598713415E9	0.8235799693162946	7.354950203629223
1.065244947E9	2.4529496615896784	13.793521884065179
1.067430919E9	0.0023035532067927585	0.1373157051587061
1.0703053395E9	1.5657968536269355	10.057227759470425
1.0763673935E9	3.9006060359169576	20.915815841054375
1.0846154195E9	1.9017889856312287	14.419114918692609
1.0928634455E9	0.5410179356854597	7.2023636554520145
1.1011114715E9	2.1036205511476322	13.565292387555884
1.1093594975E9	4.446859648599556	22.1644226153902
1.1176075235E9	2.3356542523023083	18.01184537533726
1.1258555495E9	1.8871579696766232	15.584930720875152
1.1341035755E9	2.0204140966577944	13.716388269168515
1.1423516015E9	1.9029472021547944	12.290926596795254
1.149050177E9	2.582515087514869	13.035450838552505
1.151717535E9	0.0	0.0
1.15195075E9	6.053290319364476E-4	0.023868838300649214
1.152147445E9	3.198549990670896E-4	0.01788449046148896
1.1534636805E9	0.5870353027080225	6.604366863810573
1.1588476535E9	0.9254327035341547	8.296201682359607
1.1670956795E9	0.45362744976798086	6.0695251719238685
